DCCA Code,Counting Station,District,1,2,3,4,5,6,7,8,9,10,11,12,Total ,dcca_winner
J0201,Telford Gardens Community Hall,KWUN TONG DISTRICT,432,29,43,47,952,756,16,631,957,379,141,492,4875,9
J0301,Kai Yip Community Hall,KWUN TONG DISTRICT,303,44,51,26,289,1058,9,653,462,307,101,313,3616,6
J0401,Yan Chai Hospital Law Chan Chor Si College,KWUN TONG DISTRICT,468,45,35,28,756,1097,23,708,1684,560,299,622,6325,9
J0501,Ping Shek Estate Catholic Primary School,KWUN TONG DISTRICT,328,36,31,35,234,1383,13,503,586,411,131,386,4077,6
J0601,Jordan Valley St. Joseph's Catholic Primary School,KWUN TONG DISTRICT,503,44,36,26,399,1514,16,404,530,400,94,422,4388,6
J0701,Hong Kong Christian Service Bliss District Elderly Community Centre,KWUN TONG DISTRICT,389,35,27,14,251,835,18,252,300,276,97,243,2737,6
J0702,Choi Ha Estate Kit Sam Kindergarten,KWUN TONG DISTRICT,239,21,20,24,221,359,15,315,293,214,68,243,2032,6
J0801,Ning Po No. 2 College,KWUN TONG DISTRICT,571,26,38,18,274,810,10,1539,265,362,139,328,4380,8
J0901,Shun Lee Estate Community Centre,KWUN TONG DISTRICT,461,30,23,11,646,338,14,600,466,311,129,344,3373,5
J0902,CCC Kei Shun Special School,KWUN TONG DISTRICT,471,15,32,21,1907,943,14,363,325,279,105,244,4719,5
J1001,Carmel Leung Sing Tak School,KWUN TONG DISTRICT,575,26,32,27,291,615,12,957,278,272,131,261,3477,8
J1101,Sau Mau Ping Catholic Primary School,KWUN TONG DISTRICT,651,43,54,33,497,1914,20,455,567,899,295,484,5912,6
J1201,The Mission Covenant Church Holm Glad Primary School,KWUN TONG DISTRICT,728,48,25,33,924,471,19,621,414,590,193,412,4478,5
J1301,Chan Mung Yan Lutheran Kindergarten,KWUN TONG DISTRICT,362,31,19,19,1003,307,18,594,567,363,188,537,4008,5
J1302,CASMP Chen Lee Wing Tsing Kindergarten,KWUN TONG DISTRICT,300,22,36,26,756,225,8,476,503,311,164,324,3151,5
J1401,Kwun Tong Government Primary School (Sau Ming Road),KWUN TONG DISTRICT,514,35,29,14,1098,665,13,497,374,431,150,346,4166,5
J1402,CNEC Kei Shek Church,KWUN TONG DISTRICT,118,11,14,11,213,244,1,133,115,132,87,119,1198,6
J1501,Sau Ming Primary School,KWUN TONG DISTRICT,484,33,18,25,280,1516,18,428,426,591,228,433,4480,6
J1601,St. Edward's Catholic Primary School,KWUN TONG DISTRICT,798,30,22,19,300,1014,14,799,618,562,230,533,4939,6
J1701,St. Paul's School (Lam Tin),KWUN TONG DISTRICT,637,8,14,11,152,274,10,137,199,206,48,170,1866,1
J1702,Fei Ngan Kindergarten,KWUN TONG DISTRICT,1071,19,12,20,285,376,14,413,602,385,161,411,3769,1
J1801,Lam Tin (East) Community Hall,KWUN TONG DISTRICT,311,37,20,29,226,2064,18,732,587,502,194,447,5167,6
J1802,Lam Tin (South) Sports Centre,KWUN TONG DISTRICT,483,33,20,15,252,1777,12,465,621,480,177,407,4742,6
J1901,SKH Lee Shiu Keung Primary School,KWUN TONG DISTRICT,508,38,15,34,1334,806,17,492,671,752,265,555,5487,5
J2001,SKH Kindly Light Church Holy Carpenter Kindergarten,KWUN TONG DISTRICT,452,21,11,20,259,767,9,456,563,295,126,318,3297,6
J2101,PLK Mrs. Fong Wong Kam Chuen Kindergarten,KWUN TONG DISTRICT,359,25,13,18,422,1038,15,416,477,369,137,311,3600,6
J2201,CCC Kei Faat Primary School (Yau Tong),KWUN TONG DISTRICT,941,47,35,22,718,516,18,496,443,550,193,431,4410,1
J2301,Yau Tong Community Hall,KWUN TONG DISTRICT,1041,39,39,17,769,1852,26,753,631,582,271,511,6531,6
J2302,Fukien Secondary School Affiliated School,KWUN TONG DISTRICT,587,22,19,19,532,595,12,324,335,238,81,233,2997,6
J2401,Po Chiu Catholic Secondary School,KWUN TONG DISTRICT,915,36,24,24,731,464,10,405,433,469,167,362,4040,1
J2402,Lei Yue Mun Sports Centre,KWUN TONG DISTRICT,47,6,6,8,165,70,2,57,91,59,20,74,605,5
J2501,Sai Tso Wan Neighbourhood Community Centre,KWUN TONG DISTRICT,505,31,32,17,1674,951,20,927,2877,531,271,601,8437,9
J2601,Lam Tin (West) Estate Community Centre,KWUN TONG DISTRICT,505,39,34,49,1361,761,25,998,1754,687,334,838,7385,9
J2701,Our Lady of China Catholic Primary School,KWUN TONG DISTRICT,738,46,35,48,1372,504,16,893,686,568,214,562,5682,5
J2801,Kwun Tong Maryknoll College,KWUN TONG DISTRICT,660,21,32,24,700,355,13,1327,469,453,174,441,4669,8
J2901,Delia Memorial School (Yuet Wah),KWUN TONG DISTRICT,395,29,38,26,1159,370,19,532,731,388,156,483,4326,5
J3001,Shui Wo Street Sports Centre,KWUN TONG DISTRICT,285,19,24,15,656,185,9,248,243,227,96,231,2238,5
J3002,Hiu Kwong Street Sports Centre,KWUN TONG DISTRICT,261,12,15,5,493,179,5,374,380,196,98,281,2299,5
J3101,Kwun Tong Kung Lok Government Secondary School,KWUN TONG DISTRICT,462,32,34,30,861,446,5,559,725,391,401,488,4434,5
J3201,SKH Kei Hin Primary School,KWUN TONG DISTRICT,568,26,26,25,1045,334,12,1077,407,393,208,401,4522,8
J3301,Kwun Tong Methodist Social Service Ngau Tau Kok Youth Integrated Service Centre,KWUN TONG DISTRICT,438,48,65,36,459,1208,22,557,550,392,137,433,4345,6
J3401,Chun Wah Road Sports Centre,KWUN TONG DISTRICT,184,13,15,10,169,181,5,242,255,118,62,138,1392,9
J3402,PLK Koo Bin Kau Lee Day Care Centre for the Elderly,KWUN TONG DISTRICT,375,31,55,27,430,1062,9,640,512,330,117,401,3989,6
J3501,"The Hall, Cheerful Court",KWUN TONG DISTRICT,457,28,47,40,924,464,19,677,1105,593,251,782,5387,9
J3601,SKH Kei Lok Primary School,KWUN TONG DISTRICT,1039,37,28,31,427,361,22,476,427,385,310,429,3972,1
J3701,Lok Wah Estate Community Centre,KWUN TONG DISTRICT,1125,37,40,19,641,467,20,433,349,323,135,254,3843,1
LC003,AsiaWorld-Expo (for counting misplaced ballot papers),,8,1,0,2,5,6,0,8,2,2,1,2,37,1
