"R 沙田 Sha Tin","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"R33","耀安","YIU ON","R3301","保良局莊啟程小學","PLK Chong Kee Ting Primary School","3727","5953","--","--","--","--"
"R34","恆安","HENG ON","R3401","馬鞍山聖若瑟小學","Ma On Shan St. Joseph's Primary School","4105","2346","--","--","--","--"
"R34","恆安","HENG ON","R3402","恆安社區中心","Heng On Estate Community Centre","2719","1624","--","--","--","--"
"R35","大水坑","TAI SHUI HANG","R3501","九龍城浸信會禧年小學","Kowloon City Baptist Church Hay Nien Primary School","4018","2599","--","--","--","--"
"R35","大水坑","TAI SHUI HANG","R3502","基督教香港信義會馬鞍山信義學校","The ELCHK Ma On Shan Lutheran Primary School","1139","1027","--","--","--","--"
"R36","鞍泰","ON TAI","R3601","德信中學","Tak Sun Secondary School","3163","53","4419","--","--","--"
"R37","愉欣","YU YAN","R3701","林大輝中學","Lam Tai Fai College","3578","4691","--","--","--","--"
"R38","帝怡","DI YEE","R3801","香港浸會大學附屬學校王錦輝中小學（小學部）","Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School (Primary School)","1666","1923","830","--","--","--"
"R39","碧湖","BIK WOO","R3901","路德會梁鉅鏐小學","Leung Kui Kau Lutheran Primary School","3473","2304","--","--","--","--"
"R39","碧湖","BIK WOO","R3902","香港浸會大學附屬學校王錦輝中小學（中學部）","Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School (Secondary School)","807","1153","--","--","--","--"
"R40","廣康","KWONG HONG","R4001","世界龍岡學校黃耀南小學","LKWFSL Wong Yiu Nam Primary School","401","3333","2081","--","--","--"
"R41","廣源","KWONG YUEN","R4101","廣源社區會堂","Kwong Yuen Community Hall","3982","2914","--","--","--","--"
