"C 東區 Eastern","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"C22","丹拿","TANNER","C2201","啟基學校 (港島)","Chan's Creative School (Hong Kong Island)","2899","3947","--","--","--","--"
"C23","健康村","HEALTHY VILLAGE","C2301","丹拿山循道學校","Chinese Methodist School, Tanner Hill","2609","2971","--","--","--","--"
"C24","鰂魚涌","QUARRY BAY","C2401","北角官立小學","North Point Government Primary School","2176","2700","--","--","--","--"
"C25","南豐","NAM FUNG","C2501","鰂魚涌社區會堂","Quarry Bay Community Hall","2275","4315","--","--","--","--"
"C26","康怡","KORNHILL","C2601","佛教中華康山學校","Buddhist Chung Wah Kornhill Primary School","4127","2854","--","--","--","--"
"C27","康山","KORNHILL GARDEN","C2701","太古小學","Taikoo Primary School","2564","3727","--","--","--","--"
"C28","興東","HING TUNG","C2801","青松興東幼稚園","Ching Chung Hing Tung Kindergarten","2050","2611","--","--","--","--"
"C28","興東","HING TUNG","C2802","伊斯蘭徐錦享紀念幼稚園","Islamic Abu Bakar Chui Memorial Kindergarten","1882","2778","--","--","--","--"
"C29","下耀東","LOWER YIU TUNG","C2901","勵志會梁李秀娛紀念小學","The Endeavourers Leung Lee Sau Yu Memorial Primary School","1894","1430","--","--","--","--"
"C29","下耀東","LOWER YIU TUNG","C2902","筲箕灣街坊福利事務促進會有限公司","Shau Kei Wan Kai-fong Welfare Advancement Association Ltd.","1877","1027","--","--","--","--"
"C30","上耀東","UPPER YIU TUNG","C3001","新家園協會賽馬會港島東服務中心","New Home Association Jockey Club Hong Kong East Service Centre","3124","3492","--","--","--","--"
"C31","興民","HING MAN","C3101","粵南信義會腓力堂興民幼兒學園","Lutheran Philip House Hing Man Nursery School","1354","1234","--","--","--","--"
"C31","興民","HING MAN","C3102","路德會聖雅各幼稚園","St. James Lutheran Kindergarten","1943","1879","--","--","--","--"
"C32","樂康","LOK HONG","C3201","天主教明德學校","Meng Tak Catholic School","2361","3008","--","--","--","--"
"C32","樂康","LOK HONG","C3202","循道愛華村服務中心社會福利部 - 愛華青少年綜合服務隊 (愛華服務處)","Methodist Epworth Village Community Centre, Social Welfare - Epworth Integrated Youth Team (Epworth Base)","439","555","--","--","--","--"
"C33","翠德","TSUI TAK","C3301","柴灣母嬰健康院","Chai Wan Maternal and Child Health Centre","2994","2612","--","--","--","--"
"C34","漁灣","YUE WAN","C3401","漁灣社區會堂","Yue Wan Community Hall","30","196","3814","2374","--","--"
"C35","佳曉","KAI HIU","C3501","香港中華基督教青年會 - 柴灣會所","Chinese YMCA of Hong Kong - Chai Wan Centre","1934","2207","460","--","--","--"
"C35","佳曉","KAI HIU","C3502","衞理中學","The Methodist Church H.K. Wesley College","778","993","121","--","--","--"
