"J 觀塘 Kwun Tong","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"J10","安利","ON LEE","J1002","基督教勵行會羅桂祥安泰服務中心","Christian Action Lo Kwee Seong On Tai Service Centre","646","637","--","--","--","--"
"J11","觀塘安泰","KWUN TONG ON TAI","J1101","光愛樂幼稚園(安泰)","Light and Love Home Happy Kindergarten (On Tai)","2241","2901","--","--","--","--"
"J12","秀茂坪北","SAU MAU PING NORTH","J1201","基督教聖約教會堅樂小學","The Mission Covenant Church Holm Glad Primary School","3993","3564","--","--","--","--"
"J13","秀茂坪中","SAU MAU PING CENTRAL","J1301","秀明小學","Sau Ming Primary School","3358","3422","--","--","--","--"
"J13","秀茂坪中","SAU MAU PING CENTRAL","J1302","竹園區神召會好鄰舍家庭中心","Pentecostal Church of Hong Kong Good Neighbour Family Centre","514","754","--","--","--","--"
"J14","安達","ON TAT","J1401","聖公會聖約翰曾肇添小學","SKH St. John's Tsang Shiu Tim Primary School","38","43","2393","3499","--","--"
"J15","秀茂坪南","SAU MAU PING SOUTH","J1501","觀塘官立小學(秀明道)","Kwun Tong Government Primary School (Sau Ming Road)","2328","2970","--","--","--","--"
"J15","秀茂坪南","SAU MAU PING SOUTH","J1502","中華傳道會基石堂 ","CNEC Kei Shek Church","1383","1007","--","--","--","--"
"J16","寶達","PO TAT","J1601","秀茂坪天主教小學","Sau Mau Ping Catholic Primary School","4311","3946","--","--","--","--"
"J17","廣德","KWONG TAK","J1701","藍田(東區)社區會堂","Lam Tin (East)Community Hall","2720","2759","--","--","--","--"
"J17","廣德","KWONG TAK","J1702","藍田(南)體育館","Lam Tin (South)Sports Centre","1794","1568","--","--","--","--"
"J18","興田","HING TIN","J1801","聖愛德華天主教小學","St. Edward's Catholic Primary School","4751","3417","--","--","--","--"
"J19","藍田","LAM TIN","J1901","聖公會德田李兆強小學","SKH Tak Tin Lee Shiu Keung Primary School","1650","1315","--","--","--","--"
"J19","藍田","LAM TIN","J1902","飛雁幼稚園","Fei Ngan Kindergarten","2430","2715","--","--","--","--"
"J20","平田","PING TIN","J2001","聖公會李兆強小學","SKH Lee Shiu Keung Primary School","4490","4012","--","--","--","--"
"J21","栢雅","PAK NGA","J2101","聖公會慈光堂聖匠幼稚園","SKH Kindly Light Church Holy Carpenter Kindergarten","3066","138","3825","--","--","--"
"J22","俊翔","CHUN CHEUNG","J2201","保良局方王錦全幼稚園","PLK Mrs Fong Wong Kam Chuen Kindergarten","934","1789","--","--","--","--"
"J22","俊翔","CHUN CHEUNG","J2202","香港中國婦女會李樹培夫人啟知中心","Hong Kong Chinese Women's Club Dr. Ellen Li Learning Centre","1787","2691","--","--","--","--"
"J23","油塘東","YAU TONG EAST","J2301","油塘社區會堂","Yau Tong Community Hall","2997","2972","--","--","--","--"
"J24","油翠","YAU CHUI","J2401","福建中學附屬學校","Fukien Secondary School Affiliated School","68","2572","605","2857","--","--"
"J25","油麗","YAU LAI","J2501","聖公會油塘基顯小學","S.K.H.Yautong Kei Hin Primary School","3070","2530","--","--","--","--"
"J26","油塘西","YAU TONG WEST","J2601","天主教普照中學","Po Chiu Catholic Secondary School","3388","3042","--","--","--","--"
"J26","油塘西","YAU TONG WEST","J2602","鯉魚門體育館","Lei Yue Mun Sports Centre","465","499","--","--","--","--"
"J27","麗港城","LAGUNA CITY","J2701","茜草灣鄰里社區中心","Sai Tso Wan Neighbourhood Community Centre","3951","6450","--","--","--","--"
"J28","景田","KING TIN","J2801","五邑司徒浩中學","FDBWA Szeto Ho Secondary School","3518","5638","--","--","--","--"
"J29","翠屏","TSUI PING","J2901","天主教佑華小學","Our Lady Of China Catholic Primary School","3822","4203","--","--","--","--"
"J30","曉麗","HIU LAI","J3001","路德會陳蒙恩幼稚園","Chan Mung Yan Lutheran Kindergarten","3140","2001","--","--","--","--"
"J30","曉麗","HIU LAI","J3002","宣道會秀茂坪陳李詠貞幼稚園","CASMP Chen Lee Wing Tsing Kindergarten","2330","1643","--","--","--","--"
"J31","寶樂","PO LOK","J3101","觀塘瑪利諾書院","Kwun Tong Maryknoll College","2252","4070","--","--","--","--"
"J32","月華","YUET WAH","J3201","地利亞(加拿大)學校 - 東九龍","Delia School of Canada (Kowloon East)","2557","2969","--","--","--","--"
"J33","協康","HIP HONG","J3301","瑞和街體育館","Shui Wo Street Sports Centre","1346","1367","--","--","--","--"
"J33","協康","HIP HONG","J3302","曉光街體育館","Hiu Kwong Street Sports Centre","983","1245","--","--","--","--"
"J34","樂華南","LOK WAH SOUTH","J3401","樂華社區中心","Lok Wah Estate Community Centre","2774","2856","--","--","--","--"
"J35","樂華北","LOK WAH NORTH","J3501","聖公會基樂小學","SKH Kei Lok Primary School","3628","2346","--","--","--","--"
"J36","康樂","HONG LOK","J3601","觀塘功樂官立中學","Kwun Tong Kung Lok Government Secondary School","3231","2359","--","--","--","--"
"J37","定安","TING ON","J3701","聖公會基顯小學","SKH Kei Hin Primary School","2752","3522","--","--","--","--"
"J38","牛頭角上邨","UPPER NGAU TAU KOK ESTATE","J3801","循道衛理觀塘社會服務處牛頭角青少年綜合服務中心","Kwun Tong Methodist Social Service Ngau Tau Kok Youth Integrated Service Centre","3093","3247","--","--","--","--"
"J39","牛頭角下邨","LOWER NGAU TAU KOK ESTATE","J3901","振華道體育館","Chun Wah Road Sports Centre","717","1051","--","--","--","--"
"J39","牛頭角下邨","LOWER NGAU TAU KOK ESTATE","J3902","保良局顧卞裘莉長者日間護理中心","PLK Koo Bin Kau Lee Day Care Centre for the Elderly","2987","2911","--","--","--","--"
"J40","淘大","TO TAI","J4001","彩頤居禮堂","Cheerful Court Hall","3940","2398","--","--","--","--"
