M 元朗 Yuen Long,區議會選區,Constituency,分區編號 DCCA Code,點票站,Counting Station,候選人編號 1 Candidate Number 1,候選人編號 2 Candidate Number 2,候選人編號 3 Candidate Number 3,候選人編號 4 Candidate Number 4,候選人編號 5 Candidate Number 5,候選人編號 6 Candidate Number 6
M15,廈村,HA TSUEN,M1502,錫降圍村公所,Sik Kong Wai Village Office,904,1422,--,--,--,--
M15,廈村,HA TSUEN,M1503,鄰舍輔導會屯門/元朗鄉郊中心,The Neighbourhood Advice-Action Council Tuen Mun / Yuen Long Rural Village Centre,1009,1152,--,--,--,--
M16,屏山中,PING SHAN CENTRAL,M1601,屏山天水圍體育館,Ping Shan Tin Shui Wai Sports Centre,2294,2479,--,--,--,--
M17,盛欣,SHING YAN,M1701,伊利沙伯中學舊生會小學分校,Queen Elizabeth School Old Students' Association Branch Primary School,1195,1495,61,60,3530,--
M18,天盛,TIN SHING,M1801,獅子會何德心小學,Lions Clubs International Ho Tak Sum Primary School,2830,3347,--,--,--,--
M19,天耀,TIN YIU,M1901,天耀社區中心,Tin Yiu Community Centre,372,3513,2408,55,--,--
M20,耀祐,YIU YAU,M2001,天水圍官立中學,Tin Shui Wai Government Secondary School,2444,4027,--,--,--,--
M21,慈祐,TSZ YAU,M2101,道慈佛社楊日霖紀念學校,BTCFS Yeung Yat Lam Memorial School,4238,2376,--,--,--,--
M22,嘉湖南,KINGSWOOD SOUTH,M2201,裘錦秋中學(元朗),Ju Ching Chu Secondary School (Yuen Long),2449,3001,--,--,--,--
M22,嘉湖南,KINGSWOOD SOUTH,M2202,天水圍官立小學,Tin Shui Wai Government Primary School,710,881,--,--,--,--
M23,瑞愛,SHUI OI,M2301,天瑞社區中心,Tin Shui Community Centre,3005,4605,960,--,--,--
M24,瑞華,SHUI WAH,M2401,東華三院姚達之紀念小學(元朗),TWGHs Yiu Dak Chi Memorial Primary School (Yuen Long),3955,528,2264,--,--,--
M25,頌華,CHUNG WAH,M2501,賽馬會毅智書院,The Jockey Club Eduyoung College,1549,2158,--,--,--,--
M25,頌華,CHUNG WAH,M2502,東華三院李東海小學,TWGHs Leo Tung-hai Lee Primary School,1131,1501,--,--,--,--
M26,頌栢,CHUNG PAK,M2601,香港青年協會李兆基小學,HKFYG Lee Shau Kee Primary School,187,3249,2404,--,--,--
M27,嘉湖北,KINGSWOOD NORTH,M2701,天水圍天主教小學,Tin Shui Wai Catholic Primary School,4371,177,4206,--,--,--
M28,悅恩,YUET YAN,M2801,天水圍循道衞理中學,Tin Shui Wai Methodist College,3416,2837,--,--,--,--
M29,晴景,CHING KING,M2901,天晴社區會堂,Tin Ching Community Hall,3809,3154,--,--,--,--
M30,富恩,FU YAN,M3001,天暉路社區會堂,Tin Fai Road Community Hall,3557,4325,--,--,--,--
M31,逸澤,YAT CHAK,M3101,聖公會天水圍靈愛小學,SKH Tin Shui Wai Ling Oi Primary School,4454,600,2607,--,--,--
M32,天恒,TIN HENG,M3201,順德聯誼總會伍冕端小學,STFA Wu Mien Tuen Primary School,6004,37,37,3731,--,--
M33,宏逸,WANG YAT,M3301,元朗公立中學校友會鄧英業小學,YLPMS Alumni Association Tang Ying Yip Primary School,5100,204,2849,51,--,--
M34,屏山北,PING SHAN NORTH,M3401,橫洲村公所,Wang Chau Village Office,1651,1543,--,--,--,--
M34,屏山北,PING SHAN NORTH,M3402,前沙江公立聯益學校,Former Sha Kong Public Luen Yick School,568,678,--,--,--,--
M35,錦綉花園,FAIRVIEW PARK,M3501,港澳信義會黃陳淑英紀念學校,HKMLC Wong Chan Sook Ying Memorial School,77,3211,4329,195,--,--
M36,新田,SAN TIN,M3601,惇裕學校,Tun Yu School,160,161,2032,2257,--,--
M37,錦田,KAM TIN,M3701,聖公會聖約瑟小學,SKH St. Joseph's Primary School,2293,2569,--,--,--,--
M38,八鄉北,PAT HEUNG NORTH,M3801,元朗八鄉橫台山村公所,"Wang Toi Shan Village Office, Pat Heung, Yuen Long",1724,1833,1848,--,--,--
M39,八鄉南,PAT HEUNG SOUTH,M3901,前石湖學校,Former Shek Wu School,3799,41,3435,--,--,--
